FTR,PSH,PSD,PSA
A,5.49,3.69,1.74
A,21.51,8.28,1.15
H,1.22,6.92,13.58
H,2.42,3.23,3.35
A,4.06,3.31,2.11
D,1.29,5.73,11.91
H,14.57,7.67,1.2
H,2.1,3.49,3.84
H,5.55,4.26,1.64
D,1.24,6.55,13.11
D,2.39,3.38,3.25
H,1.65,3.98,5.9
D,2.65,3.27,2.95
D,2.59,3.43,2.91
H,3.31,3.48,2.33
H,1.22,6.93,14.33
H,2.05,3.59,3.9
A,2.44,3.33,3.21
H,1.43,4.47,9.35
A,3.84,3.37,2.17
H,1.32,6.24,9.06
D,7.52,5.27,1.41
A,9.59,5.84,1.33
A,2.06,3.41,4.14
D,2.13,3.46,3.77
A,5.57,4.36,1.63
A,5.69,4.24,1.63
H,1.2,7.34,15.64
A,1.78,3.77,5.06
H,2.41,3.35,3.24
H,1.51,4.63,6.91
H,1.72,3.76,5.7
D,1.69,3.82,5.96
A,3.08,3.36,2.5
H,1.96,3.72,4.09
D,2.88,3.31,2.69
H,5.52,3.81,1.73
A,2.24,3.35,3.66
H,1.85,3.43,5.22
H,1.53,4.47,6.58
D,3.16,3.63,2.35
A,3.85,3.38,2.14
H,5.17,3.41,1.86
H,1.95,3.45,4.53
H,2.15,3.33,3.89
H,1.46,4.85,7.4
H,2.3,3.48,3.38
A,3.25,3.43,2.36
H,1.29,5.66,11.94
H,1.16,8.38,17.97
H,1.93,3.66,4.33
A,11.74,7.23,1.23
H,1.83,3.5,5.24
A,2.9,3.32,2.67
H,1.45,4.61,8.37
D,2.05,3.75,3.78
H,2.1,3.56,3.81
H,1.51,4.37,7.46
D,5.69,4.05,1.67
A,6.49,4.68,1.53
H,2.5,3.45,3.04
H,3.58,3.43,2.21
A,1.88,3.52,4.85
A,3.53,3.27,2.31
H,1.6,4.41,5.73
H,1.15,8.79,19.09
H,2.85,3.21,2.78
H,4.34,3.78,1.89
H,2.45,3.55,3.04
D,1.59,4.04,6.93
H,1.17,7.8,18.87
D,2.13,3.45,3.79
A,3.16,3.43,2.41
H,1.58,4.09,6.7
H,4.12,3.64,1.99
A,11.68,6.34,1.27
A,2.6,3.14,3.13
H,3.21,3.23,2.5
H,1.47,4.35,8.4
A,21.02,9.55,1.13
H,1.84,3.88,4.51
H,1.45,4.85,7.5
A,2.6,3.41,2.93
A,8.23,4.64,1.46
H,1.63,4.17,5.9
H,1.39,5.29,8.57
H,1.76,3.86,5.06
H,3.98,3.6,2.02
H,1.27,5.71,15.03
H,1.07,14.96,42.94
H,1.47,4.67,7.45
A,8.91,5.15,1.39
A,2.09,3.64,3.75
A,5.22,3.86,1.75
A,2.61,3.2,3.1
H,3.01,3.67,2.41
H,1.32,5.82,10.48
A,1.66,3.87,6.18
A,2.32,3.29,3.49
H,1.9,3.63,4.48
H,4.64,4.01,1.79
H,1.42,5.02,8.33
H,2.64,3.22,3.02
H,1.21,7.08,14.67
A,10.23,5.55,1.34
H,1.68,4.12,5.46
A,3.18,3.78,2.25
A,2.01,3.27,4.53
A,1.68,4.32,5.05
A,4.34,3.81,1.87
H,1.29,6.44,10.31
H,2.59,3.1,3.24
D,3.21,3.5,2.35
D,1.77,3.5,5.79
A,1.56,4.55,6.23
A,14.96,7.07,1.21
H,3.23,3.55,2.34
D,1.25,6.33,13.71
H,1.29,5.63,12.65
D,2.29,3.49,3.35
A,6.94,4.85,1.49
H,2.95,3.47,2.54
H,1.08,13.99,30.97
D,2.35,3.18,3.6
D,2.63,3.45,2.84
H,2.4,3.71,2.95
D,1.92,3.86,4.1
A,1.44,5.17,7.4
A,2.64,3.32,2.93
A,19.41,8.84,1.15
H,2.68,3.77,2.61
D,2.73,3.43,2.77
H,1.68,3.91,5.73
H,4.06,3.9,1.92
A,2.62,3.75,2.68
A,9.92,5.04,1.36
H,2.33,3.72,3.09
H,1.56,4.16,6.69
D,1.43,4.72,8.49
H,1.39,5.14,8.58
D,9.23,5.56,1.34
H,1.17,8.35,17.14
A,15.63,8.17,1.18
A,3.15,3.8,2.25
H,1.88,4.14,3.95
A,2.55,3.57,2.83
D,2.44,3.65,2.93
H,1.31,5.77,10.54
A,1.28,6.33,10.21
D,1.44,4.83,7.62
D,2.1,3.64,3.64
A,2.2,3.85,3.21
